Student Last Name,Student First Name,Gr,Advisor,Advisor Last Name,Advisor First Name,F1/G1 Last,F1/G1 First,F1/G1 Phone
Johnson,Dalton,01,"Bryant, Laura Lea",Bryant,Laura Lea,Johnson,Jennifer,(967) 442-3497
Johnson,Daylie,04,"Smith, Michelle A",Smith,Michelle A,Johnson,Jennifer,(967) 442-3497
Peterson,Samuel,03,"Collins, Kristin E",Collins,Kristin E,Peterson,Deborah,(812) 412-4869
Foster,Mia,01,"Bryant, Laura Lea",Bryant,Laura Lea,Foster,Raquel,(713) 695-4296
Moore,Oscar,04,"Smith, Michelle A",Smith,Michelle A,Moore,Jennifer,(806) 301-9556
Richardson,Evelyn,02,"Crawford-Mass, Beth Anne",Crawford-Mass,Beth Anne,Richardson,Nelba,(110) 648-8774
Stewart,Silas,01,"Darling, Suzanne G",Darling,Suzanne G,Stewart,Claire,(885) 217-5222
Lopez,James,K2,"Dreiling, Sandra L",Dreiling,Sandra L,Lopez,Danielle,(982) 716-6569
Turner,Benjamin,K2,"Cottle, Carole D",Cottle,Carole D,Turner,Melike,(354) 161-0647
Perry,Michael,K2,"Weinbach, Elaina D",Weinbach,Elaina D,Perry,Rebecca,(133) 969-1017
Thompson,Matias,K2,"Bendezu, Zoe Margaret",Bendezu,Zoe Margaret,Thompson,Amee,(488) 632-1645
Miller,Sasha,03,"Wood, Lisa Victoria Cole",Wood,Lisa Victoria Cole,Miller,Susan,(691) 123-9725
Martin,Neve,04,"Covert, William W",Covert,William W,Martin,Tara,(501) 569-9652
Harris,Amy,K2,"Weinbach, Elaina D",Weinbach,Elaina D,Harris,Carlene,(183) 227-9731
Harris,Tia,P3,"Hines, Kathryn Michele",Hines,Kathryn Michele,Harris,Carlene,(183) 227-9731
Torres,Aeden,02,"Nordstrom, Amy West",Nordstrom,Amy West,Torres,Michelle,(164) 342-8529
Torres,Rory,04,"Ryan, Ingrid Anna",Ryan,Ingrid Anna,Torres,Michelle,(164) 342-8529
Morris,Livia,04,"Ryan, Ingrid Anna",Ryan,Ingrid Anna,Morris,Andrea,(379) 439-7671
Fisher,Lia,03,"Eisenhood, Ian P",Eisenhood,Ian P,Fisher,Allison,(169) 861-8944
Murphy,Beck,K2,"Cottle, Carole D",Cottle,Carole D,Murphy,Richard,(679) 394-9142
Parker,Christopher,03,"Collins, Kristin E",Collins,Kristin E,Parker,Colleen,(616) 770-0823
Scott,Walker,K2,"Dreiling, Sandra L",Dreiling,Sandra L,Scott,Jessica,(787) 072-2822
Bell,Samuel,02,"Nordstrom, Amy West",Nordstrom,Amy West,Bell,Breanna,(113) 291-1108
Wood,Alexander,K2,"Weinbach, Elaina D",Weinbach,Elaina D,Wood,Amy,(126) 271-2511
Anderson,Fiona,01,"Bryant, Laura Lea",Bryant,Laura Lea,Anderson,Amanda,(243) 158-8791
Young,Calder,01,"Pellegrino, Kelleen Elizabeth",Pellegrino,Kelleen Elizabeth,Young,Elissa,(652) 099-6831
Wilson,Gavin,04,"Smith, Michelle A",Smith,Michelle A,Wilson,Lindsay,(107) 085-5525
Price,Owen,03,"Wood, Lisa Victoria Cole",Wood,Lisa Victoria Cole,Price,Susan,(426) 265-6024
Walker,Sean,K2,"Bendezu, Zoe Margaret",Bendezu,Zoe Margaret,Walker,Emma,(614) 375-9142
Green,Kyla,02,"Crawford-Mass, Beth Anne",Crawford-Mass,Beth Anne,Green,Stacey,(822) 185-9809
Green,Quincy,03,"Collins, Kristin E",Collins,Kristin E,Green,Stacey,(822) 185-9809
Davis,Gabriel,04,"Smith, Michelle A",Smith,Michelle A,Davis,Kelly,(311) 861-7196
Nelson,Lyla,01,"Bryant, Laura Lea",Bryant,Laura Lea,Nelson,Bianca,(910) 801-6274
Garcia,Cruise,K2,"Dreiling, Sandra L",Dreiling,Sandra L,Garcia,Noal,(214) 193-4963
Campbell,Kaden,01,"Pellegrino, Kelleen Elizabeth",Pellegrino,Kelleen Elizabeth,Campbell,Kelly,(546) 384-8031
Jackson,Mia,04,"Ryan, Ingrid Anna",Ryan,Ingrid Anna,Jackson,Laura,(554) 401-8748
Williams,Aria,02,"Crawford-Mass, Beth Anne",Crawford-Mass,Beth Anne,Williams,Celine,(830) 038-2667
Williams,Rowen,03,"Wood, Lisa Victoria Cole",Wood,Lisa Victoria Cole,Williams,Celine,(830) 038-2667
Taylor,Connor,01,"Bryant, Laura Lea",Bryant,Laura Lea,Taylor,Heather,(615) 418-1589
Carter,Dylan,03,"Eisenhood, Ian P",Eisenhood,Ian P,Carter,Kirrin,(499) 992-0769
Evans,Jayden,04,"Ryan, Ingrid Anna",Ryan,Ingrid Anna,Evans,Melissa,(618) 566-3655
Rogers,Brougham,03,"Collins, Kristin E",Collins,Kristin E,Rogers,Kelli,(633) 909-6337
Collins,Ignacio,02,"Nordstrom, Amy West",Nordstrom,Amy West,Collins,Milena,(115) 324-0453
Collins,Natalia,04,"Ryan, Ingrid Anna",Ryan,Ingrid Anna,Collins,Milena,(115) 324-0453
Kelly,Aidan,K2,"Bendezu, Zoe Margaret",Bendezu,Zoe Margaret,Kelly,Elizabeth,(165) 185-3501
Lewis,Arwyn,04,"Smith, Michelle A",Smith,Michelle A,Lewis,Laura,(797) 308-0737
Smith,Audrey,03,"Collins, Kristin E",Collins,Kristin E,Smith,Andrya,(326) 442-2467
Johnson,Esther,03,"Wood, Lisa Victoria Cole",Wood,Lisa Victoria Cole,Johnson,Valerie,(108) 808-1980
Williams,Finnigan,02,"Nordstrom, Amy West",Nordstrom,Amy West,Williams,Wendy,(191) 615-0069
Williams,Nora,02,"Nordstrom, Amy West",Nordstrom,Amy West,Williams,Wendy,(191) 615-0069
Brown,Charlotte,04,"Ryan, Ingrid Anna",Ryan,Ingrid Anna,Brown,Caroline,(324) 249-6835
Brown,Winston,01,"Bryant, Laura Lea",Bryant,Laura Lea,Brown,Caroline,(155) 052-7607
Miller,Andrew,02,"Keach, Rebecca Jeanne Grue",Keach,Rebecca Jeanne Grue,Miller,Kimberly,(324) 249-6835
Wilson,Penelope,K2,"Cottle, Carole D",Cottle,Carole D,Wilson,Stephanie,(120) 594-4322
Moore,Lake,01,"Bryant, Laura Lea",Bryant,Laura Lea,Moore,Nina,(240) 294-1121
Moore,Willa,03,"Eisenhood, Ian P",Eisenhood,Ian P,Moore,Nina,(240) 294-1121
Anderson,Miles,P4,"Hines, Kathryn Michele",Hines,Kathryn Michele,Anderson,Jennifer,(526) 933-7084
Thomas,Brennan,K2,"Cottle, Carole D",Cottle,Carole D,Thomas,Lauriene,(308) 319-9242
Thomas,Caitlin,01,"Pellegrino, Kelleen Elizabeth",Pellegrino,Kelleen Elizabeth,Thomas,Lauriene,(308) 319-9242
Thomas,Finn,K2,"Cottle, Carole D",Cottle,Carole D,Thomas,Lauriene,(308) 319-9242
Harris,Nora,04,"Covert, William W",Covert,William W,Harris,Janel,(800) 345-3998
Martin,John,03,"Collins, Kristin E",Collins,Kristin E,Martin,Amber,(155) 247-4337
Martin,Juliette,K2,"Cottle, Carole D",Cottle,Carole D,Martin,Amber,(155) 247-4337
